index_;cust_id;activated_date;last_payment_date;balance;balance_frequency;purchases;oneoff_purchases;installments_purchases;cash_advance;purchases_frequency;oneoff_purchases_frequency;purchases_installments_frequency;cash_advance_frequency;cash_advance_trx;purchases_trx;credit_limit;payments;minimum_payments;prc_full_payment;tenure;fraud
1;C10001;6/10/2019;9/09/2020;40900749;0.818182;95.4;0;95.4;0;0.166667;0;0.083333;0;0;2;1000;201802084;139509787;0;12;0
2;C10002;6/10/2019;4/07/2020;3202467416;0.909091;0;0;0;6442945483;0;0;0;0.25;4;0;7000;4103032597;1072340217;0.222222;12;0
3;C10003;6/10/2019;17/09/2020;2495148862;1;773.17;773.17;0;0;1;1;0;0;0;12;7500;622066742;627284787;0;12;0
4;C10004;6/10/2019;24/08/2020;1666670542;0.636364;1499;1499;0;205788017;0.083333;0.083333;0;0.083333;1;1;7500;0;;0;12;0
5;C10005;6/10/2019;20/10/2020;817714335;1;16;16;0;0;0.083333;0.083333;0;0;0;1;1200;678334763;244791237;0;12;0
6;C10006;6/10/2019;27/07/2020;1809828751;1;1333.28;0;1333.28;0;0.666667;0;0.583333;0;0;8;1800;140005777;2407246035;0;12;0
7;C10007;6/10/2019;30/10/2020;627260806;1;7091.01;6402.63;688.38;0;1;1;1;0;0;64;13500;6354314328;198065894;1;12;0
8;C10008;6/10/2019;6/08/2020;1823652743;1;436.2;0;436.2;0;1;0;1;0;0;12;2300;679065082;53203399;0;12;0
9;C10009;6/10/2019;6/10/2020;1014926473;1;861.49;661.49;200;;0.333333;0.083333;0.25;0;0;5;7000;688278568;311963409;0;12;0
10;C10010;6/10/2019;6/05/2020;152225975;0.545455;1281.6;1281.6;0;0;0.166667;0.166667;0;0;0;3;11000;1164770591;100302262;0;12;0
11;C10011;6/10/2019;20/10/2020;1293124939;1;920.12;0;920.12;0;1;0;1;0;0;12;1200;1083301007;2172697765;0;12;0
12;C10012;6/10/2019;12/05/2020;630794744;0.818182;1492.18;1492.18;0;0;0.25;0.25;0;0;0;6;2000;705618627;155549069;0;12;0
13;C10013;6/10/2019;9/10/2020;151692862;1;3217.99;2500.23;717.76;0;1;0.25;0.916667;0;0;26;3000;608263689;490207013;0.25;12;0
14;C10014;6/10/2019;28/05/2020;921693369;1;2137.93;419.96;1717.97;0;0.75;0.166667;0.75;0;0;26;7500;1655891435;251137986;0.083333;12;0
15;C10015;6/10/2019;23/10/2020;2772772734;1;0;0;0;34681139;0;0;0;0.083333;1;0;3000;805647974;989962866;0;12;0
